
task_id,transaction_id,region,user_id,role,variant,step_index,action_name,application,duration_sec,start_time_sec,end_time_sec,decision_outcome,auto_score
invoice_approval,TX0001,Americas,U381,AP Clerk,A,1,read_email,Outlook,21.49,0.0,21.49,,0.8
invoice_approval,TX0001,Americas,U381,AP Clerk,A,2,download_attachment,Outlook,11.07,21.49,32.56,,0.8
invoice_approval,TX0001,Americas,U381,AP Clerk,A,3,open_invoice,PDF Viewer,14.71,32.56,47.27,,0.9
invoice_approval,TX0001,Americas,U381,AP Clerk,A,4,validate_invoice_data,SAP,27.47,47.27,74.73,,0.6
invoice_approval,TX0001,Americas,U381,AP Clerk,A,5,check_tolerance,SAP,28.29,74.73,103.02,exceeds_tolerance,0.6
invoice_approval,TX0001,Americas,U381,AP Clerk,A,6,approve_invoice,SAP,24.18,103.02,127.2,approved,0.6
invoice_approval,TX0001,Americas,U381,AP Clerk,A,7,record_log,Excel,15.59,127.2,142.79,approved,0.9
invoice_approval,TX0001,Americas,U381,AP Clerk,A,8,notify_requester,Outlook,12.7,142.79,155.49,approved,0.8
invoice_approval,TX0002,NorthAmerica,U765,Manager,A,1,read_email,Outlook,15.22,0.0,15.22,,0.8
invoice_approval,TX0002,NorthAmerica,U765,Manager,A,2,download_attachment,Outlook,11.59,15.22,26.81,,0.8
invoice_approval,TX0002,NorthAmerica,U765,Manager,A,3,open_invoice,PDF Viewer,13.58,26.81,40.39,,0.9
invoice_approval,TX0002,NorthAmerica,U765,Manager,A,4,validate_invoice_data,SAP,59.86,40.39,100.25,,0.6
invoice_approval,TX0002,NorthAmerica,U765,Manager,A,5,check_tolerance,SAP,30.26,100.25,130.51,within_tolerance,0.6
invoice_approval,TX0002,NorthAmerica,U765,Manager,A,6,approve_invoice,SAP,21.47,130.51,151.97,approved,0.6
invoice_approval,TX0002,NorthAmerica,U765,Manager,A,7,record_log,Excel,14.51,151.97,166.49,approved,0.9
invoice_approval,TX0002,NorthAmerica,U765,Manager,A,8,notify_requester,Outlook,11.37,166.49,177.86,approved,0.8
invoice_approval,TX0003,APAC,U489,AP Clerk,A,1,read_email,Outlook,23.91,0.0,23.91,,0.8
invoice_approval,TX0003,APAC,U489,AP Clerk,A,2,download_attachment,Outlook,6.66,23.91,30.57,,0.8
invoice_approval,TX0003,APAC,U489,AP Clerk,A,3,open_invoice,PDF Viewer,17.27,30.57,47.84,,0.9
invoice_approval,TX0003,APAC,U489,AP Clerk,A,4,validate_invoice_data,SAP,24.85,47.84,72.7,,0.6
invoice_approval,TX0003,APAC,U489,AP Clerk,A,5,check_tolerance,SAP,9.04,72.7,81.74,within_tolerance,0.6
invoice_approval,TX0003,APAC,U489,AP Clerk,A,6,approve_invoice,SAP,21.36,81.74,103.1,approved,0.6
